table,row_id,flag_type,field,value,note
orders,ORD-3324,SHIP_BEFORE_ORDER,ship_date × order_date,"ship=2023-11-22 00:00:00, order=2023-11-27 00:00:00",ship_date trước order_date — bất khả thi
orders,ORD-3382,SHIP_BEFORE_ORDER,ship_date × order_date,"ship=2023-07-24 00:00:00, order=2023-07-28 00:00:00",ship_date trước order_date — bất khả thi
orders,ORD-3491,SHIP_BEFORE_ORDER,ship_date × order_date,"ship=2023-10-17 00:00:00, order=2023-10-20 00:00:00",ship_date trước order_date — bất khả thi
orders,ORD-3001,PRICE_INVALID,unit_price_vnd,-140000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3031,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3039,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3045,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3048,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3053,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3100,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3134,PRICE_INVALID,unit_price_vnd,-140000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3139,PRICE_INVALID,unit_price_vnd,-140000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3149,PRICE_INVALID,unit_price_vnd,-140000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3152,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3155,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3161,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3168,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3173,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3196,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3198,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3200,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3230,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3237,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3258,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3283,PRICE_INVALID,unit_price_vnd,-140000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3295,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3309,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3310,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3372,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3389,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3400,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3403,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3409,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3434,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3451,PRICE_INVALID,unit_price_vnd,0.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3460,PRICE_INVALID,unit_price_vnd,-140000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3476,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3487,PRICE_INVALID,unit_price_vnd,-109000.0,Giá ≤ 0 hoặc không đọc được
orders,ORD-3037,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3054,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3212,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3225,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3250,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3255,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3281,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3283,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3315,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3323,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3353,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3374,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3377,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3393,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3411,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3415,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3418,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3425,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3427,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3468,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3478,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
orders,ORD-3491,ADDRESS_MISSING,shipping_address,,Địa chỉ không hợp lệ hoặc trống
