supplier_id,supplier_name,email,phone,city,payment_terms,is_active
SUP-125,Cty XD Vật Liệu ABC,xdvậtliệua94@yahoo.com,397705310,Hải Phòng,cod,False
SUP-126,Công ty CP Điện Tử Minh Phát,cpđiệntửmi25@company.vn,0581979055,Đà Nẵng,Net60,1
SUP-127,CÔNG TY TNHH THỰC PHẨM SAO VÀNG,tnhhthựcph71@yahoo.com,0316789850,Hà Nội,Net30,1
SUP-128,Công ty TNHH Hóa Chất Đại Dương,tnhhhóachấ63@yahoo.com,0838688676,Hồ Chí Minh,NET60,TRUE
SUP-129,Công ty TNHH Xây Dựng Vật Liệu ABC,tnhhxâydựn59@outlook.com,0766775103,Cần Thơ,COD,0
SUP-130,Cty CP Điện Tử Minh Phát,cpđiệntửmi38@company.vn,0517849494,Đà Nẵng,NET30,TRUE
SUP-131,Công ty CP Đồ Chơi Trẻ Em Vui Vẻ,cpđồchơitr65@yahoo.com,+84931130263,Cần Thơ,Net30,true
SUP-132,CÔNG TY TNHH THỰC PHẨM SAO VÀNG,tnhhthựcph87@gmail.com,0564193837,Hồ Chí Minh,60 days,TRUE
SUP-133,Công ty TNHH Nông Sản Xanh Sạch,tnhhnôngsả54@gmail.com,0985863473,Hồ Chí Minh,COD,False
SUP-134,Cty Văn Phòng Phẩm Tiến Đạt,vănphòngph51@outlook.com,0596637649,Hà Nội,NET30,0
SUP-135,Công ty TNHH Nông Sản Xanh Sạch,tnhhnôngsả10@gmail.com,0938609087,Đà Nẵng,Net30,1
SUP-136,Nhà cung cấp Thiết Bị Y Tế Tân Bình,nhàcungcấp21@outlook.com,0882909480,Cần Thơ,NET30,FALSE
SUP-137,Công ty CP Điện Tử Minh Phát,cpđiệntửmi34@company.vn,0324366125,Đà Nẵng,60 days,1
SUP-138,Công ty CP Thực Phẩm Đông Lạnh Bắc Nam,cpthựcphẩm88@company.vn,0777834855,Hà Nội,Net30,false
SUP-139,Công ty CP Dệt May Phương Nam,cpdệtmayph1@gmail.com,0727558317,Hải Phòng,net60,false
SUP-140,Công ty TNHH Phụ Tùng Ô Tô Bền Vững,tnhhphụtùn15@gmail.com,0330005727,Cần Thơ,net60,true
SUP-141,Cty XD Vật Liệu ABC,xdvậtliệua6@company.vn,0758942697,Hà Nội,THANH TOÁN 30 NGÀY,1
SUP-142,Cty Văn Phòng Phẩm Tiến Đạt,vănphòngph46@gmail.com,0964543049,Hồ Chí Minh,Trả ngay,true
SUP-143,Công ty TNHH Hóa Chất Đại Dương,tnhhhóachấ4@yahoo.com,0554585178,Hồ Chí Minh,30 ngày,true
SUP-144,Công ty CP Điện Tử Minh Phát,cpđiệntửmi5@yahoo.com,0839854548,Đà Nẵng,30 ngày,1
SUP-145,Cty Văn Phòng Phẩm Tiến Đạt,vănphòngph85@gmail.com,0563481198,Đà Nẵng,THANH TOÁN 30 NGÀY,false
SUP-146,Công ty TNHH Phụ Tùng Ô Tô Bền Vững,tnhhphụtùn4@outlook.com,0345059710,Đà Nẵng,NET30,True
SUP-147,Công ty TNHH Nông Sản Xanh Sạch,tnhhnôngsả45@yahoo.com,0768571795,Hải Phòng,60 days,1
SUP-148,Công ty CP Dệt May Phương Nam,cpdệtmayph91@gmail.com,0810226999,Hồ Chí Minh,THANH TOÁN 30 NGÀY,false
SUP-149,CÔNG TY TNHH THỰC PHẨM SAO VÀNG,tnhhthựcph80@outlook.com,0799038359,Đà Nẵng,net60,FALSE
SUP-150,Cty XD Vật Liệu ABC,xdvậtliệua52@outlook.com,0784411983,Hải Phòng,COD,true
