movement_id,item_id,movement_type,quantity,movement_date,reference_po,warehouse,created_by,notes
MOV-5048,ITEM-225,OUT,87,2023-07-04,,Không xác định,admin,
MOV-5049,ITEM-209,IN,13,2024-06-21,PO-3054,B1,kho2,
MOV-5050,ITEM-205,IN,12,2023-02-28,PO-3112,A1,admin,
MOV-5051,ITEM-278,IN,85,2023-07-09,PO-3057,Không xác định,system,OK
MOV-5052,ITEM-255,RETURN,33,2023-06-15,PO-3038,B1,kho2,
MOV-5053,ITEM-257,IN,26,2024-02-07,PO-3092,A2,KHO1,Urgent
MOV-5054,ITEM-214,OUT,34,2023-04-16,,B1,system,
MOV-5055,ITEM-264,IN,82,2023-01-01,PO-3020,C1,admin,
MOV-5056,ITEM-263,OUT,52,2023-03-13,,B2,admin,
MOV-5057,ITEM-269,IN,88,2023-11-07,PO-3206,C1,kho2,
MOV-5058,ITEM-259,ADJUSTMENT,83,2023-07-27,,Không xác định,kho1,OK
MOV-5059,ITEM-250,IN,89,2024-01-03,PO-3250,A1,kho1,
MOV-5060,ITEM-276,IN,50,2023-03-06,PO-3277,A1,admin,OK
MOV-5061,ITEM-208,IN,6,2024-02-20,PO-3061,C1,kho1,Urgent
MOV-5062,ITEM-275,IN,5,2023-05-25,PO-3251,A2,ADMIN,Urgent
MOV-5063,ITEM-217,IN,81,2023-02-21,PO-3158,A1,admin,
MOV-5064,ITEM-264,OUT,29,2023-03-06,,Không xác định,system,OK
MOV-5065,ITEM-216,RETURN,70,2023-05-21,PO-3165,A2,kho2,
MOV-5066,ITEM-216,IN,97,2024-03-01,PO-3087,A1,kho1,
MOV-5067,ITEM-279,OUT,3,2024-05-13,,Không xác định,ADMIN,
MOV-5068,ITEM-237,OUT,99,2024-05-02,,B1,KHO1,Kiểm tra lại
MOV-5069,ITEM-253,IN,79,2023-02-08,PO-3093,B1,system,
MOV-5070,ITEM-272,IN,16,2024-06-26,PO-3049,A2,system,
MOV-5071,ITEM-227,IN,25,2023-04-26,PO-3077,A2,ADMIN,
MOV-5072,ITEM-207,RETURN,37,2023-08-03,PO-3223,A1,admin,Urgent
MOV-5073,ITEM-207,OUT,21,2023-01-30,,Không xác định,system,
MOV-5074,ITEM-275,IN,26,2023-11-30,PO-3118,B2,kho1,Kiểm tra lại
MOV-5075,ITEM-229,IN,75,2024-05-11,PO-3028,A2,system,OK
MOV-5076,ITEM-218,OUT,25,2024-01-03,,A1,ADMIN,
MOV-5077,ITEM-208,IN,15,2024-04-21,PO-3235,C1,kho1,
MOV-5078,ITEM-279,IN,71,2023-08-24,PO-3045,C1,system,
MOV-5079,ITEM-260,IN,94,2024-03-14,PO-3127,A2,KHO1,
MOV-5080,ITEM-254,IN,61,2024-05-31,PO-3018,A1,system,Kiểm tra lại
MOV-5081,ITEM-231,IN,97,2023-01-13,PO-3209,A1,admin,Kiểm tra lại
MOV-5082,ITEM-240,IN,59,2023-01-25,PO-3233,B1,ADMIN,Kiểm tra lại
MOV-5083,ITEM-201,ADJUSTMENT,50,2023-12-07,,Không xác định,KHO1,
MOV-5084,ITEM-274,ADJUSTMENT,88,2023-03-24,,C1,ADMIN,OK
MOV-5085,ITEM-207,IN,47,2024-04-21,PO-3021,C1,ADMIN,
MOV-5086,ITEM-227,IN,31,2023-04-27,PO-3245,A2,ADMIN,
MOV-5087,ITEM-229,IN,35,2024-05-30,PO-3217,C1,KHO1,
MOV-5088,ITEM-216,OUT,69,2024-06-29,,Không xác định,ADMIN,
MOV-5089,ITEM-209,IN,12,2023-03-24,PO-3201,A2,kho2,
MOV-5090,ITEM-219,OUT,27,2024-06-17,,Không xác định,KHO1,
MOV-5091,ITEM-261,IN,57,2023-01-22,PO-3150,Không xác định,kho2,Kiểm tra lại
MOV-5092,ITEM-275,IN,83,2023-12-01,PO-3249,B2,kho2,
MOV-5093,ITEM-217,ADJUSTMENT,22,2023-09-24,,A1,kho1,OK
MOV-5094,ITEM-237,OUT,80,2023-06-14,,Không xác định,ADMIN,Urgent
MOV-5095,ITEM-220,IN,15,2023-02-12,PO-3163,C1,ADMIN,
MOV-5096,ITEM-241,IN,48,2024-04-04,PO-3277,B2,system,
MOV-5097,ITEM-219,OUT,20,2023-01-05,,B1,ADMIN,Urgent
MOV-5098,ITEM-238,OUT,97,2023-05-31,,B1,ADMIN,
MOV-5100,ITEM-280,ADJUSTMENT,58,2024-01-01,,A2,KHO1,
MOV-5101,ITEM-229,ADJUSTMENT,26,2023-01-24,,Không xác định,admin,
MOV-5102,ITEM-251,IN,41,2024-06-07,PO-3029,B1,system,OK
MOV-5103,ITEM-202,IN,45,2023-11-12,PO-3229,Không xác định,system,
MOV-5104,ITEM-257,IN,94,2024-03-10,PO-3213,B1,system,
MOV-5106,ITEM-235,OUT,72,2024-04-18,,A2,kho1,
MOV-5107,ITEM-249,IN,63,2023-02-13,PO-3155,A2,admin,
MOV-5108,ITEM-201,IN,39,2024-04-28,PO-3064,Không xác định,ADMIN,
MOV-5109,ITEM-204,IN,64,2023-03-10,PO-3186,Không xác định,system,Urgent
MOV-5110,ITEM-216,IN,94,2023-01-18,PO-3133,A2,kho2,
MOV-5111,ITEM-207,IN,54,2023-12-31,PO-3025,A2,ADMIN,
MOV-5112,ITEM-213,OUT,70,2023-11-27,,B1,kho2,Urgent
MOV-5114,ITEM-267,IN,100,2024-05-11,PO-3211,C1,kho1,
MOV-5115,ITEM-225,ADJUSTMENT,79,2024-06-22,,A1,system,Kiểm tra lại
MOV-5116,ITEM-210,IN,3,2024-05-06,PO-3179,C1,kho2,
MOV-5117,ITEM-239,IN,16,2023-08-16,PO-3066,A2,kho1,
MOV-5118,ITEM-255,RETURN,10,2023-01-20,PO-3248,C1,KHO1,
MOV-5119,ITEM-261,IN,6,2023-03-09,PO-3155,A2,KHO1,
MOV-5120,ITEM-224,RETURN,4,2023-04-03,PO-3075,B1,kho1,
MOV-5121,ITEM-265,ADJUSTMENT,31,2024-06-01,,A1,KHO1,
MOV-5122,ITEM-225,IN,97,2023-01-05,PO-3051,B1,ADMIN,
MOV-5123,ITEM-224,OUT,14,2023-07-05,,A2,KHO1,
MOV-5124,ITEM-253,IN,16,2024-04-22,PO-3057,C1,ADMIN,
MOV-5125,ITEM-211,IN,15,2024-01-30,PO-3146,A2,KHO1,Kiểm tra lại
MOV-5126,ITEM-238,ADJUSTMENT,25,2023-03-13,,B1,kho1,
MOV-5127,ITEM-263,RETURN,51,2024-03-24,PO-3268,Không xác định,KHO1,
MOV-5128,ITEM-222,IN,26,2023-12-13,PO-3103,Không xác định,system,OK
MOV-5129,ITEM-275,OUT,97,2024-02-14,,B2,KHO1,OK
MOV-5130,ITEM-219,ADJUSTMENT,14,2023-05-06,,A2,admin,
MOV-5131,ITEM-207,ADJUSTMENT,64,2023-01-28,,B1,kho1,OK
MOV-5132,ITEM-280,OUT,98,2023-03-20,,B2,kho1,OK
MOV-5133,ITEM-264,OUT,34,2023-12-18,,A1,system,
MOV-5134,ITEM-250,OUT,49,2024-03-29,,Không xác định,kho2,Urgent
MOV-5135,ITEM-222,OUT,18,2023-11-16,,C1,ADMIN,Kiểm tra lại
MOV-5136,ITEM-271,RETURN,74,2024-04-26,PO-3244,B2,KHO1,Kiểm tra lại
MOV-5137,ITEM-279,RETURN,99,2023-10-19,PO-3165,B1,ADMIN,
MOV-5138,ITEM-204,ADJUSTMENT,49,2023-04-10,,B1,admin,Urgent
MOV-5139,ITEM-232,IN,83,2023-11-16,PO-3044,A2,admin,
MOV-5140,ITEM-242,IN,85,2024-03-08,PO-9480,A1,kho2,Kiểm tra lại
MOV-5141,ITEM-274,OUT,74,2023-04-11,,A2,kho2,Kiểm tra lại
MOV-5142,ITEM-265,ADJUSTMENT,22,2023-11-03,,Không xác định,admin,
MOV-5143,ITEM-269,IN,34,2023-02-18,PO-3153,A1,ADMIN,
MOV-5144,ITEM-275,IN,44,2023-10-07,PO-3035,A1,ADMIN,
MOV-5145,ITEM-239,OUT,56,2023-11-17,,C1,system,Urgent
MOV-5146,ITEM-271,IN,81,2024-06-12,PO-3096,B2,kho2,Urgent
MOV-5147,ITEM-269,ADJUSTMENT,99,2024-03-20,,C1,kho1,OK
MOV-5148,ITEM-260,IN,20,2023-11-04,PO-3223,A2,system,OK
MOV-5149,ITEM-237,RETURN,33,2023-08-30,PO-9816,B2,system,
MOV-5150,ITEM-256,OUT,5,2023-07-26,,B1,ADMIN,
MOV-5151,ITEM-223,RETURN,93,2024-05-12,PO-3011,A1,system,OK
MOV-5152,ITEM-212,OUT,18,2023-08-30,,C1,ADMIN,
MOV-5153,ITEM-275,ADJUSTMENT,33,2024-05-23,,B1,kho2,
MOV-5154,ITEM-275,RETURN,96,2023-08-30,PO-3217,B2,system,OK
MOV-5155,ITEM-276,IN,69,2024-01-19,PO-3058,A2,kho2,Kiểm tra lại
MOV-5156,ITEM-248,ADJUSTMENT,3,2023-02-05,,Không xác định,ADMIN,
MOV-5157,ITEM-233,OUT,40,2024-01-07,,A2,system,Kiểm tra lại
MOV-5158,ITEM-202,OUT,39,2023-04-03,,A2,kho1,Kiểm tra lại
MOV-5159,ITEM-241,ADJUSTMENT,5,2023-10-08,,B2,ADMIN,Kiểm tra lại
MOV-5160,ITEM-243,RETURN,13,2023-06-14,PO-3134,Không xác định,kho2,Kiểm tra lại
MOV-5161,ITEM-204,ADJUSTMENT,83,2023-07-08,,A1,system,
MOV-5162,ITEM-240,IN,11,2023-04-24,PO-3081,A2,KHO1,Urgent
MOV-5163,ITEM-253,ADJUSTMENT,58,2024-05-04,,Không xác định,KHO1,
MOV-5164,ITEM-242,ADJUSTMENT,26,2023-03-28,,C1,kho1,
MOV-5165,ITEM-203,OUT,79,2023-08-23,,B1,ADMIN,
MOV-5166,ITEM-222,IN,80,2024-03-15,PO-3134,A1,admin,Urgent
MOV-5167,ITEM-268,OUT,87,2024-05-21,,B1,kho2,Urgent
MOV-5168,ITEM-264,OUT,56,2023-07-31,,Không xác định,ADMIN,
MOV-5169,ITEM-254,IN,19,2023-01-30,PO-3149,B1,KHO1,Urgent
MOV-5170,ITEM-259,IN,61,2023-05-17,PO-3166,Không xác định,system,Urgent
MOV-5171,ITEM-277,IN,13,2023-03-02,PO-3027,Không xác định,KHO1,Urgent
MOV-5172,ITEM-206,IN,65,2024-01-26,PO-3155,A1,KHO1,
MOV-5173,ITEM-234,IN,64,2023-12-14,PO-3240,B1,admin,OK
MOV-5174,ITEM-206,IN,36,2024-01-05,PO-3221,C1,kho2,Kiểm tra lại
MOV-5175,ITEM-222,IN,63,2023-06-04,PO-3285,A2,kho1,
MOV-5176,ITEM-230,IN,61,2023-09-24,PO-3084,A1,system,OK
MOV-5177,ITEM-272,OUT,64,2023-04-26,,B1,admin,
MOV-5178,ITEM-237,IN,96,2024-06-04,PO-3140,C1,KHO1,
MOV-5179,ITEM-254,IN,99,2024-05-25,PO-3049,A1,system,OK
MOV-5180,ITEM-276,IN,20,2023-01-30,PO-3042,B1,KHO1,Urgent
MOV-5181,ITEM-201,IN,84,2024-04-08,PO-3167,A2,kho1,
MOV-5182,ITEM-207,ADJUSTMENT,42,2023-02-26,,B2,admin,Kiểm tra lại
MOV-5184,ITEM-227,IN,100,2024-02-17,PO-3146,B2,system,Urgent
MOV-5185,ITEM-240,RETURN,17,2024-01-03,PO-3050,B2,kho2,
MOV-5186,ITEM-277,OUT,97,2024-03-08,,Không xác định,system,
MOV-5187,ITEM-206,OUT,60,2023-08-18,,C1,ADMIN,Urgent
MOV-5188,ITEM-268,IN,60,2024-03-23,PO-3041,Không xác định,kho2,
MOV-5189,ITEM-232,OUT,38,2023-02-18,,A1,KHO1,Kiểm tra lại
MOV-5190,ITEM-253,IN,85,2023-09-17,PO-3182,Không xác định,ADMIN,Kiểm tra lại
MOV-5191,ITEM-223,ADJUSTMENT,51,2023-02-16,,B1,KHO1,Urgent
MOV-5192,ITEM-259,ADJUSTMENT,80,2023-09-29,,A2,kho1,
MOV-5194,ITEM-251,IN,22,2024-05-03,PO-3236,Không xác định,system,OK
MOV-5195,ITEM-280,ADJUSTMENT,47,2024-02-09,,A1,kho1,
MOV-5196,ITEM-203,RETURN,4,2023-08-03,PO-3247,C1,kho1,
MOV-5197,ITEM-239,ADJUSTMENT,19,2024-04-30,,Không xác định,ADMIN,Kiểm tra lại
MOV-5198,ITEM-263,OUT,58,2023-09-06,,A1,kho2,
MOV-5199,ITEM-214,RETURN,54,2024-05-22,PO-3297,B2,system,
MOV-5200,ITEM-276,RETURN,87,2024-05-14,PO-3119,C1,admin,OK
MOV-5201,ITEM-254,OUT,64,2023-12-22,,B1,ADMIN,
MOV-5202,ITEM-261,IN,30,2024-06-03,PO-3113,Không xác định,system,
MOV-5203,ITEM-238,RETURN,54,2024-01-04,PO-3242,Không xác định,ADMIN,
MOV-5204,ITEM-262,IN,26,2023-06-10,PO-3252,A2,kho1,
MOV-5205,ITEM-207,IN,34,2024-01-01,PO-3082,B1,system,
MOV-5206,ITEM-280,IN,72,2023-08-18,PO-3250,C1,kho2,
MOV-5207,ITEM-266,OUT,14,2023-02-21,,A1,admin,
MOV-5208,ITEM-279,OUT,72,2023-02-12,,A2,kho2,
MOV-5209,ITEM-238,RETURN,98,2024-06-02,PO-3256,A2,admin,
MOV-5210,ITEM-226,OUT,99,2023-01-07,,B1,KHO1,
MOV-5211,ITEM-211,IN,92,2024-02-29,PO-3185,B2,kho1,
MOV-5212,ITEM-255,OUT,59,2024-06-12,,B2,kho1,
MOV-5213,ITEM-202,RETURN,9,2023-03-28,PO-3174,B2,admin,Urgent
MOV-5214,ITEM-220,OUT,81,2024-06-16,,Không xác định,KHO1,
MOV-5215,ITEM-239,RETURN,45,2023-01-09,PO-3144,B2,ADMIN,
MOV-5216,ITEM-270,OUT,84,2024-03-28,,B2,kho1,OK
MOV-5217,ITEM-211,IN,43,2024-02-04,PO-3065,C1,kho2,
MOV-5218,ITEM-244,ADJUSTMENT,3,2023-01-29,,A2,kho2,Urgent
MOV-5219,ITEM-255,OUT,94,2023-03-03,,B1,admin,
MOV-5220,ITEM-216,OUT,74,2023-01-06,,C1,KHO1,Urgent
MOV-5221,ITEM-269,ADJUSTMENT,30,2023-12-25,,C1,ADMIN,
MOV-5222,ITEM-249,OUT,32,2023-04-18,,B2,admin,
MOV-5223,ITEM-255,ADJUSTMENT,11,2023-04-05,,A2,system,
MOV-5224,ITEM-248,RETURN,52,2024-06-15,PO-3203,Không xác định,system,Urgent
MOV-5225,ITEM-254,ADJUSTMENT,19,2024-06-01,,Không xác định,KHO1,
MOV-5226,ITEM-268,IN,28,2024-04-11,PO-3243,C1,system,
MOV-5227,ITEM-216,IN,38,2023-02-11,PO-3268,B1,system,
MOV-5228,ITEM-219,IN,54,2023-02-19,PO-3157,A1,admin,
MOV-5229,ITEM-245,IN,54,2024-05-07,PO-3294,B2,ADMIN,
MOV-5230,ITEM-278,IN,65,2024-04-16,PO-3231,C1,ADMIN,
MOV-5231,ITEM-253,OUT,51,2023-12-14,,Không xác định,kho2,Urgent
MOV-5232,ITEM-212,ADJUSTMENT,91,2023-01-26,,B1,KHO1,Urgent
MOV-5233,ITEM-216,RETURN,11,2023-07-17,PO-3278,B2,KHO1,
MOV-5234,ITEM-216,RETURN,24,2023-01-20,PO-3141,B2,admin,
MOV-5235,ITEM-269,OUT,52,2023-02-16,,B2,kho1,Kiểm tra lại
MOV-5236,ITEM-204,ADJUSTMENT,41,2024-01-27,,C1,kho1,OK
MOV-5237,ITEM-219,IN,99,2023-04-02,PO-3079,B1,kho1,
MOV-5238,ITEM-208,IN,13,2023-11-24,PO-3073,A1,kho1,
MOV-5239,ITEM-277,OUT,64,2024-06-04,,B1,admin,OK
MOV-5241,ITEM-230,IN,71,2023-04-14,PO-3127,B2,system,
MOV-5242,ITEM-265,IN,48,2023-06-22,PO-3126,A1,admin,
MOV-5244,ITEM-262,IN,33,2024-01-25,PO-3180,A1,kho1,Urgent
MOV-5245,ITEM-269,OUT,39,2023-04-02,,Không xác định,KHO1,OK
MOV-5246,ITEM-256,IN,65,2023-11-22,PO-3176,A2,ADMIN,OK
MOV-5247,ITEM-244,IN,77,2023-12-03,PO-3009,B2,admin,
MOV-5248,ITEM-223,OUT,90,2024-05-15,,Không xác định,admin,
MOV-5249,ITEM-204,ADJUSTMENT,87,2023-05-07,,B1,system,
MOV-5251,ITEM-203,ADJUSTMENT,88,2024-01-02,,B1,ADMIN,
MOV-5252,ITEM-230,OUT,5,2023-10-15,,A2,admin,
MOV-5253,ITEM-251,IN,73,2024-05-27,PO-3253,Không xác định,KHO1,
MOV-5254,ITEM-223,IN,17,2023-03-08,PO-3066,Không xác định,kho2,
MOV-5255,ITEM-203,RETURN,79,2023-09-16,PO-3287,Không xác định,admin,
MOV-5256,ITEM-242,OUT,36,2023-05-05,,C1,admin,Urgent
MOV-5257,ITEM-229,IN,54,2024-06-29,PO-3230,A1,ADMIN,
MOV-5258,ITEM-255,IN,26,2023-06-18,PO-3169,B2,admin,
MOV-5259,ITEM-243,ADJUSTMENT,32,2023-04-21,,B1,KHO1,
MOV-5260,ITEM-231,IN,80,2024-03-25,PO-3049,A1,system,OK
MOV-5261,ITEM-209,ADJUSTMENT,8,2024-03-28,,A1,admin,Urgent
MOV-5262,ITEM-208,OUT,38,2024-01-26,,A2,KHO1,
MOV-5263,ITEM-280,IN,50,2024-04-20,PO-3220,A1,system,
MOV-5265,ITEM-209,OUT,74,2023-05-10,,B2,ADMIN,
MOV-5266,ITEM-257,IN,18,2023-02-15,PO-3031,B1,kho2,
MOV-5267,ITEM-270,ADJUSTMENT,19,2024-04-25,,A1,KHO1,
MOV-5268,ITEM-219,IN,65,2023-02-25,PO-3217,A1,kho2,
MOV-5269,ITEM-261,RETURN,77,2023-12-06,PO-3297,A2,admin,Kiểm tra lại
MOV-5270,ITEM-206,OUT,1,2023-08-17,,A2,system,Urgent
MOV-5271,ITEM-243,ADJUSTMENT,27,2024-02-14,,A1,admin,OK
MOV-5272,ITEM-204,OUT,19,2023-10-25,,A1,admin,
MOV-5273,ITEM-226,IN,29,2023-09-26,PO-3090,A2,kho2,
MOV-5274,ITEM-203,ADJUSTMENT,49,2023-04-24,,A2,kho2,
MOV-5275,ITEM-248,RETURN,68,2024-03-20,PO-3034,A2,KHO1,Kiểm tra lại
MOV-5276,ITEM-248,IN,55,2023-09-08,PO-3024,A2,kho2,
MOV-5277,ITEM-207,RETURN,17,2024-06-04,PO-3300,Không xác định,KHO1,
MOV-5278,ITEM-222,OUT,97,2024-06-05,,B1,ADMIN,OK
MOV-5279,ITEM-268,RETURN,92,2024-05-21,PO-3243,Không xác định,admin,
MOV-5280,ITEM-229,IN,31,2024-02-10,PO-3112,B1,KHO1,
MOV-5281,ITEM-218,ADJUSTMENT,38,2024-03-31,,B2,KHO1,
MOV-5282,ITEM-244,OUT,60,2024-03-18,,B1,system,
MOV-5283,ITEM-223,OUT,34,2023-03-19,,C1,KHO1,Urgent
MOV-5284,ITEM-211,ADJUSTMENT,30,2023-04-11,,A2,kho2,
MOV-5285,ITEM-243,IN,96,2023-10-09,PO-3098,Không xác định,KHO1,OK
MOV-5286,ITEM-202,ADJUSTMENT,37,2023-12-21,,C1,ADMIN,
MOV-5287,ITEM-261,RETURN,98,2023-06-02,PO-3204,C1,KHO1,
MOV-5288,ITEM-271,ADJUSTMENT,93,2024-04-17,,B2,ADMIN,Kiểm tra lại
MOV-5289,ITEM-227,OUT,72,2023-01-31,,B1,ADMIN,
MOV-5290,ITEM-264,ADJUSTMENT,44,2023-08-19,,Không xác định,KHO1,OK
MOV-5291,ITEM-242,OUT,73,2023-02-02,,C1,ADMIN,
MOV-5292,ITEM-278,OUT,51,2024-01-26,,B2,kho1,Kiểm tra lại
MOV-5293,ITEM-214,IN,58,2023-11-08,PO-3048,C1,system,
MOV-5294,ITEM-224,IN,50,2023-10-18,PO-3106,B1,KHO1,
MOV-5295,ITEM-222,IN,51,2023-06-10,PO-3057,A2,kho1,
MOV-5296,ITEM-227,IN,91,2024-05-01,PO-3082,Không xác định,ADMIN,Kiểm tra lại
MOV-5297,ITEM-236,IN,19,2024-04-01,PO-3033,C1,system,Kiểm tra lại
MOV-5298,ITEM-260,OUT,95,2023-04-04,,B1,ADMIN,
MOV-5299,ITEM-239,OUT,23,2024-03-01,,B2,system,Kiểm tra lại
MOV-5300,ITEM-224,RETURN,13,2024-02-07,PO-3023,C1,kho2,Urgent
MOV-5301,ITEM-209,RETURN,64,2024-02-26,PO-3284,B1,system,Kiểm tra lại
MOV-5303,ITEM-260,OUT,96,2024-02-13,,B1,admin,Urgent
MOV-5304,ITEM-218,IN,96,2024-04-20,PO-3249,B2,kho1,Kiểm tra lại
MOV-5305,ITEM-236,ADJUSTMENT,22,2023-01-19,,C1,ADMIN,Kiểm tra lại
MOV-5306,ITEM-222,IN,98,2023-01-12,PO-3140,Không xác định,KHO1,
MOV-5307,ITEM-257,RETURN,82,2024-06-19,PO-3053,A1,system,
MOV-5309,ITEM-204,IN,25,2023-03-06,PO-3113,A2,ADMIN,
MOV-5310,ITEM-206,OUT,14,2023-12-01,,A2,KHO1,Kiểm tra lại
MOV-5311,ITEM-255,IN,28,2023-04-19,PO-3183,B2,kho1,Kiểm tra lại
MOV-5312,ITEM-229,IN,36,2024-01-13,PO-3023,B2,admin,Urgent
MOV-5313,ITEM-269,ADJUSTMENT,22,2023-09-15,,Không xác định,system,Urgent
MOV-5314,ITEM-218,IN,82,2023-11-22,PO-3247,B2,KHO1,Urgent
MOV-5315,ITEM-230,OUT,91,2023-01-14,,B1,kho1,Urgent
MOV-5316,ITEM-255,ADJUSTMENT,80,2023-03-23,,A2,kho1,Kiểm tra lại
MOV-5317,ITEM-227,RETURN,31,2024-03-30,PO-3169,C1,system,Urgent
MOV-5318,ITEM-237,ADJUSTMENT,30,2023-12-06,,Không xác định,kho1,
MOV-5319,ITEM-229,OUT,67,2023-11-26,,B2,admin,
MOV-5320,ITEM-207,RETURN,27,2023-05-09,PO-3047,A2,KHO1,
MOV-5321,ITEM-255,RETURN,40,2023-06-18,PO-3102,C1,system,Urgent
MOV-5322,ITEM-226,IN,11,2024-01-04,PO-3204,Không xác định,system,
MOV-5323,ITEM-220,ADJUSTMENT,3,2024-01-26,,C1,KHO1,
MOV-5324,ITEM-271,RETURN,33,2024-01-25,PO-3238,A1,kho2,
MOV-5325,ITEM-261,IN,25,2023-01-05,PO-3007,B2,system,Urgent
MOV-5326,ITEM-248,OUT,40,2023-03-14,,B2,KHO1,
MOV-5327,ITEM-225,ADJUSTMENT,33,2023-12-23,,B1,ADMIN,
MOV-5328,ITEM-250,OUT,32,2023-09-06,,Không xác định,ADMIN,Urgent
MOV-5329,ITEM-204,RETURN,34,2024-04-11,PO-3076,A1,admin,
MOV-5330,ITEM-212,RETURN,51,2023-03-24,PO-3266,B1,ADMIN,OK
MOV-5331,ITEM-265,OUT,49,2023-11-12,,A1,admin,Urgent
MOV-5332,ITEM-274,ADJUSTMENT,19,2023-10-03,,Không xác định,kho2,
MOV-5333,ITEM-222,ADJUSTMENT,1,2023-04-10,,B2,ADMIN,OK
MOV-5334,ITEM-256,IN,48,2023-07-10,PO-3069,C1,kho1,
MOV-5335,ITEM-226,IN,24,2023-07-16,PO-3133,A1,ADMIN,
MOV-5336,ITEM-211,IN,49,2023-05-08,PO-3142,Không xác định,admin,
MOV-5337,ITEM-208,IN,86,2023-02-12,PO-3050,B1,system,Kiểm tra lại
MOV-5338,ITEM-244,OUT,44,2024-01-15,,A2,kho2,Urgent
MOV-5339,ITEM-252,OUT,8,2023-12-31,,B2,ADMIN,Kiểm tra lại
