po_id,supplier_id,item_id,order_date,expected_date,quantity,unit_cost_vnd,total_amount,currency,status,notes
PO-3060,SUP-142,ITEM-249,2024-03-02,2024-03-18,412,265000,109180000,VND,pending,
PO-3061,SUP-130,ITEM-208,2024-03-02,2024-03-22,297,209000,62073000,VND,pending,
PO-3062,SUP-147,ITEM-225,2023-02-10,2023-03-12,36,138000,4968000,VND,pending,
PO-3063,SUP-113,ITEM-216,2024-05-05,2024-05-15,392,500000,196000000,VND,cancelled,
PO-3064,SUP-142,ITEM-246,2024-06-09,2024-06-27,167,134000,22378000,VND,received,Cần hóa đơn VAT
PO-3065,SUP-103,ITEM-273,2023-05-30,2023-06-02,452,115000,51980000,VND,cancelled,
PO-3066,SUP-116,ITEM-264,2023-12-12,2023-12-23,291,329000,95739000,VND,pending,
PO-3067,SUP-147,ITEM-270,2023-03-02,2023-03-21,260,96000,24960000,VND,pending,Hàng dễ vỡ
PO-3068,SUP-110,ITEM-202,2024-01-18,2024-01-22,121,255000,30855000,VND,cancelled,
PO-3069,SUP-102,ITEM-268,2023-10-21,2023-10-24,379,141000,53439000,VND,pending,
PO-3070,SUP-113,ITEM-280,2023-12-29,2024-01-09,279,130000,36270000,VND,approved,Hàng dễ vỡ
PO-3071,SUP-106,ITEM-205,2024-01-22,2024-02-11,57,206000,11742000,VND,pending,
PO-3072,SUP-103,ITEM-230,2024-05-01,2024-05-12,118,451000,53218000,VND,pending,
PO-3073,SUP-138,ITEM-219,2024-02-12,2024-02-17,395,411000,162345000,VND,cancelled,
PO-3074,SUP-148,ITEM-218,2023-03-22,2023-04-10,414,494000,204516000,VND,cancelled,
PO-3075,SUP-121,ITEM-204,2024-04-06,2024-04-24,334,140000,46760000,VND,approved,
PO-3076,SUP-116,ITEM-210,2024-01-25,2024-02-19,52,138000,7176000,VND,received,
PO-3077,SUP-118,ITEM-214,2024-03-17,2024-04-03,77,48000,3696000,VND,received,
PO-3078,SUP-125,ITEM-202,2023-03-28,2023-04-23,159,210000,33390000,VND,pending,Giao hàng khẩn
PO-3079,SUP-120,ITEM-235,2023-06-21,2023-07-07,262,77000,20174000,VND,cancelled,
PO-3080,SUP-140,ITEM-226,2023-11-08,2023-11-11,244,58000,14152000,VND,pending,Giao hàng khẩn
PO-3081,SUP-121,ITEM-278,2024-05-05,2024-05-18,495,349000,172755000,VND,received,Cần hóa đơn VAT
PO-3082,SUP-118,ITEM-251,2023-07-24,2023-08-14,196,61000,11956000,VND,cancelled,
PO-3083,SUP-119,ITEM-209,2024-02-23,2024-03-18,429,425000,182325000,VND,cancelled,
PO-3084,SUP-131,ITEM-275,2024-03-04,2024-03-24,215,270000,58050000,VND,received,
PO-3085,SUP-142,ITEM-279,2024-02-14,2024-03-12,32,284000,9088000,VND,approved,Cần hóa đơn VAT
PO-3086,SUP-124,ITEM-251,2024-05-27,2024-05-25,247,387000,95589000,VND,received,Giao hàng khẩn
PO-3087,SUP-122,ITEM-259,2024-05-09,2024-05-23,411,107000,43977000,VND,pending,
PO-3088,SUP-122,ITEM-214,2023-09-07,2023-09-26,356,401000,142756000,VND,pending,
PO-3089,SUP-141,ITEM-256,2023-07-22,2023-08-08,212,19000,4028000,VND,pending,
PO-3090,SUP-135,ITEM-224,2024-04-13,2024-04-19,197,166000,32702000,VND,pending,Giao hàng khẩn
PO-3091,SUP-123,ITEM-259,2023-11-01,2023-11-23,326,90000,29340000,VND,pending,
PO-3092,SUP-125,ITEM-254,2024-01-28,2024-02-13,315,73000,22995000,VND,cancelled,Giao hàng khẩn
PO-3093,SUP-109,ITEM-224,2023-02-24,2023-02-21,171,422000,72162000,VND,cancelled,Hàng dễ vỡ
PO-3094,SUP-132,ITEM-254,2024-05-15,2024-05-11,373,421000,157033000,VND,cancelled,
PO-3095,SUP-133,ITEM-215,2024-01-11,2024-01-31,303,62000,18786000,VND,approved,Giao hàng khẩn
PO-3096,SUP-103,ITEM-258,2023-03-31,2023-04-17,144,178000,25632000,VND,cancelled,
PO-3097,SUP-140,ITEM-218,2023-07-31,2023-08-28,411,107000,43977000,VND,approved,
PO-3098,SUP-133,ITEM-213,2024-02-26,2024-03-01,79,482000,38078000,VND,approved,
PO-3099,SUP-144,ITEM-251,2023-10-03,2023-10-26,260,75000,19500000,VND,approved,Hàng dễ vỡ
PO-3100,SUP-124,ITEM-259,2023-01-03,2023-02-02,496,247000,122512000,VND,cancelled,
PO-3101,SUP-128,ITEM-228,2023-10-18,2023-10-31,263,138000,36294000,VND,pending,Hàng dễ vỡ
PO-3102,SUP-130,ITEM-203,2023-06-11,2023-06-28,73,465000,33945000,VND,pending,
PO-3103,SUP-118,ITEM-212,2023-03-26,2023-04-09,345,183000,63135000,VND,pending,Hàng dễ vỡ
PO-3104,SUP-989,ITEM-201,2023-05-16,2023-06-06,119,241000,28679000,VND,pending,Cần hóa đơn VAT
PO-3105,SUP-105,ITEM-230,2023-04-15,2023-04-21,206,49000,10094000,VND,pending,
PO-3106,SUP-134,ITEM-273,2023-06-18,2023-07-05,14,307000,4298000,VND,pending,
PO-3107,SUP-109,ITEM-216,2023-12-26,2024-01-11,311,366000,113826000,VND,approved,
PO-3108,SUP-145,ITEM-204,2023-11-05,2023-11-14,444,424000,188256000,VND,cancelled,
PO-3109,SUP-116,ITEM-264,2024-06-24,2024-06-27,336,299000,100464000,VND,pending,
PO-3110,SUP-131,ITEM-210,2023-01-15,2023-01-26,18,296000,5328000,VND,cancelled,Cần hóa đơn VAT
PO-3111,SUP-145,ITEM-252,2023-06-06,2023-06-17,52,322000,16744000,VND,pending,Giao hàng khẩn
PO-3112,SUP-145,ITEM-256,2023-09-02,2023-09-06,383,477000,182691000,VND,pending,
PO-3113,SUP-101,ITEM-218,2024-05-23,2024-06-06,369,11000,4059000,VND,pending,
PO-3114,SUP-102,ITEM-243,2024-06-20,2024-06-25,423,218000,92214000,VND,pending,Giao hàng khẩn
PO-3115,SUP-111,ITEM-233,2023-04-29,2023-04-28,405,56000,22680000,VND,pending,
PO-3116,SUP-146,ITEM-254,2024-03-02,2024-03-28,124,164000,20336000,VND,approved,
PO-3118,SUP-113,ITEM-238,2023-09-06,2023-09-23,298,393000,117114000,VND,pending,
PO-3119,SUP-127,ITEM-204,2023-01-10,2023-01-23,129,273000,35217000,VND,cancelled,
PO-3120,SUP-110,ITEM-236,2023-08-26,2023-09-25,57,27000,1539000,VND,pending,Hàng dễ vỡ
PO-3121,SUP-126,ITEM-210,2024-03-21,2024-04-14,313,286000,89518000,VND,received,Giao hàng khẩn
PO-3122,SUP-129,ITEM-235,2023-07-27,2023-08-03,129,42000,5418000,VND,received,
PO-3123,SUP-114,ITEM-258,2023-05-03,2023-05-08,167,234000,39078000,VND,pending,Hàng dễ vỡ
PO-3124,SUP-116,ITEM-246,2023-11-03,2023-11-14,212,259000,54908000,VND,pending,Cần hóa đơn VAT
PO-3125,SUP-107,ITEM-218,2023-08-16,2023-08-23,72,11000,792000,VND,pending,
PO-3126,SUP-105,ITEM-226,2023-05-12,2023-05-17,472,325000,153400000,VND,cancelled,
PO-3127,SUP-147,ITEM-251,2024-03-12,2024-03-20,264,20000,5280000,VND,approved,Hàng dễ vỡ
PO-3128,SUP-119,ITEM-264,2024-05-05,2024-05-09,220,442000,97240000,VND,pending,Cần hóa đơn VAT
PO-3129,SUP-146,ITEM-246,2024-05-11,2024-05-25,255,275000,70125000,VND,approved,
PO-3130,SUP-131,ITEM-268,2023-08-27,2023-09-04,193,385000,74305000,VND,cancelled,Giao hàng khẩn
PO-3131,SUP-112,ITEM-223,2024-01-03,2024-01-24,131,298000,39038000,VND,approved,
PO-3132,SUP-132,ITEM-205,2023-08-13,2023-08-03,56,33000,1848000,VND,pending,
PO-3133,SUP-138,ITEM-219,2024-06-22,2024-07-22,406,60000,24360000,VND,received,
PO-3134,SUP-111,ITEM-256,2024-05-13,2024-06-05,415,321000,133215000,VND,pending,Cần hóa đơn VAT
PO-3135,SUP-120,ITEM-238,2023-01-02,2023-01-27,75,93000,6975000,VND,approved,Hàng dễ vỡ
PO-3136,SUP-137,ITEM-214,2023-12-06,2024-01-01,489,251000,122739000,VND,received,Cần hóa đơn VAT
PO-3137,SUP-949,ITEM-234,2023-03-11,2023-03-25,117,129000,15093000,VND,cancelled,Cần hóa đơn VAT
PO-3138,SUP-123,ITEM-270,2024-05-05,2024-06-02,202,55000,11110000,VND,pending,Giao hàng khẩn
PO-3139,SUP-117,ITEM-214,2024-01-20,2024-01-28,47,174000,8178000,VND,pending,Cần hóa đơn VAT
PO-3140,SUP-142,ITEM-222,2023-06-10,2023-06-14,320,445000,142400000,VND,approved,Hàng dễ vỡ
PO-3141,SUP-119,ITEM-239,2024-02-07,2024-02-28,131,52000,6812000,VND,cancelled,
PO-3142,SUP-107,ITEM-204,2023-10-26,2023-10-31,115,90000,10350000,VND,cancelled,
PO-3143,SUP-124,ITEM-249,2023-02-15,2023-02-26,199,97000,19303000,VND,pending,
PO-3144,SUP-143,ITEM-245,2023-08-21,2023-09-10,423,273000,115479000,VND,approved,Cần hóa đơn VAT
PO-3145,SUP-120,ITEM-211,2023-02-05,2023-02-24,212,452000,95824000,VND,pending,
PO-3146,SUP-113,ITEM-217,2024-03-21,2024-03-30,31,215000,6665000,VND,cancelled,
PO-3147,SUP-126,ITEM-271,2024-06-16,2024-06-06,176,429000,75504000,VND,pending,
PO-3148,SUP-137,ITEM-213,2023-12-19,2024-01-04,412,147000,60564000,VND,cancelled,
PO-3149,SUP-126,ITEM-243,2024-05-01,2024-04-26,363,123000,44649000,VND,approved,
PO-3150,SUP-120,ITEM-257,2023-10-03,2023-10-29,406,414000,168084000,VND,received,
PO-3152,SUP-113,ITEM-226,2023-02-03,2023-02-20,438,34000,14892000,VND,pending,
PO-3153,SUP-124,ITEM-263,2024-04-30,2024-05-21,314,226000,70964000,VND,pending,Cần hóa đơn VAT
PO-3154,SUP-104,ITEM-221,2023-08-08,2023-09-07,447,288000,128736000,VND,cancelled,
PO-3155,SUP-142,ITEM-223,2023-08-18,2023-08-29,317,401000,127117000,VND,cancelled,Giao hàng khẩn
PO-3156,SUP-114,ITEM-260,2024-02-11,2024-03-03,164,340000,55760000,VND,approved,Giao hàng khẩn
PO-3157,SUP-144,ITEM-214,2023-10-11,2023-11-03,256,37000,9472000,VND,approved,
PO-3158,SUP-139,ITEM-252,2023-05-24,2023-06-19,348,163000,56724000,VND,approved,Giao hàng khẩn
PO-3159,SUP-147,ITEM-229,2024-05-02,2024-05-26,361,270000,97470000,VND,cancelled,
PO-3160,SUP-148,ITEM-234,2023-07-07,2023-07-31,381,405000,154305000,VND,received,Giao hàng khẩn
PO-3161,SUP-138,ITEM-238,2024-04-26,2024-04-30,247,426000,105222000,VND,cancelled,
PO-3162,SUP-120,ITEM-253,2023-06-04,2023-06-11,37,436000,16132000,VND,pending,
PO-3163,SUP-106,ITEM-263,2023-07-01,2023-06-26,180,317000,57060000,VND,pending,
PO-3164,SUP-140,ITEM-256,2024-03-15,2024-03-11,334,218000,72812000,VND,pending,Hàng dễ vỡ
PO-3165,SUP-101,ITEM-232,2023-12-19,2023-12-31,125,348000,43500000,VND,cancelled,Hàng dễ vỡ
PO-3166,SUP-134,ITEM-277,2023-05-18,2023-05-31,278,172000,47816000,VND,approved,
PO-3167,SUP-147,ITEM-217,2024-05-31,2024-06-08,118,368000,43424000,VND,pending,
PO-3168,SUP-104,ITEM-214,2023-02-19,2023-03-16,344,419000,144136000,VND,pending,Giao hàng khẩn
PO-3169,SUP-127,ITEM-213,2023-05-21,2023-06-06,349,263000,91787000,VND,approved,
PO-3170,SUP-963,ITEM-234,2023-07-26,2023-08-09,435,264000,114840000,VND,approved,
PO-3171,SUP-101,ITEM-212,2024-05-20,2024-05-27,474,60000,28440000,VND,cancelled,Giao hàng khẩn
PO-3172,SUP-117,ITEM-260,2023-06-28,2023-07-28,35,54000,1890000,VND,pending,Hàng dễ vỡ
PO-3173,SUP-142,ITEM-222,2024-03-24,2024-04-15,178,182000,32396000,VND,approved,
PO-3174,SUP-125,ITEM-262,2023-06-20,2023-06-26,419,214000,89666000,VND,cancelled,
PO-3175,SUP-140,ITEM-249,2023-01-30,2023-03-01,408,183000,74664000,VND,cancelled,
PO-3176,SUP-105,ITEM-234,2024-06-21,2024-07-18,345,161000,55545000,VND,pending,Cần hóa đơn VAT
PO-3177,SUP-143,ITEM-232,2024-01-30,2024-02-06,256,176000,45056000,VND,cancelled,
PO-3178,SUP-132,ITEM-222,2023-11-25,2023-12-05,48,377000,18096000,VND,cancelled,Cần hóa đơn VAT
PO-3179,SUP-137,ITEM-258,2024-04-02,2024-04-15,55,429000,23595000,VND,pending,
PO-3180,SUP-106,ITEM-278,2024-06-04,2024-06-24,326,321000,104646000,VND,received,
PO-3181,SUP-150,ITEM-280,2024-01-08,2024-02-02,317,239000,75763000,VND,received,Hàng dễ vỡ
PO-3182,SUP-107,ITEM-206,2023-05-24,2023-06-22,469,86000,40334000,VND,cancelled,
PO-3183,SUP-113,ITEM-244,2023-02-17,2023-03-12,65,380000,24700000,VND,cancelled,
PO-3184,SUP-134,ITEM-207,2024-05-09,2024-05-28,293,468000,137124000,VND,received,
PO-3185,SUP-125,ITEM-254,2023-09-12,2023-09-23,321,458000,147018000,VND,approved,
PO-3186,SUP-145,ITEM-271,2023-08-11,2023-08-20,450,160000,72000000,VND,pending,
PO-3187,SUP-135,ITEM-242,2023-12-27,2024-01-16,373,62000,23126000,VND,cancelled,
PO-3188,SUP-101,ITEM-267,2023-05-29,2023-06-02,64,18000,1152000,VND,pending,Hàng dễ vỡ
PO-3189,SUP-119,ITEM-227,2024-01-03,2024-02-01,395,273000,107835000,VND,cancelled,
PO-3190,SUP-133,ITEM-237,2024-01-26,2024-02-10,364,334000,121576000,VND,approved,
PO-3191,SUP-150,ITEM-257,2024-01-12,2024-02-08,434,117000,50778000,VND,pending,
PO-3192,SUP-112,ITEM-266,2024-03-14,2024-03-25,71,192000,13632000,VND,pending,
PO-3193,SUP-121,ITEM-277,2023-11-05,2023-11-23,36,388000,13968000,VND,pending,
PO-3194,SUP-133,ITEM-221,2024-02-18,2024-02-23,222,274000,60828000,VND,cancelled,
PO-3195,SUP-149,ITEM-202,2024-04-01,2024-04-11,68,336000,22848000,VND,pending,Cần hóa đơn VAT
PO-3196,SUP-117,ITEM-270,2024-06-13,2024-07-12,380,145000,55100000,VND,received,
PO-3197,SUP-106,ITEM-213,2024-06-30,2024-07-03,95,486000,46170000,VND,cancelled,Hàng dễ vỡ
PO-3198,SUP-105,ITEM-220,2023-12-06,2023-12-10,22,232000,5104000,VND,cancelled,Cần hóa đơn VAT
PO-3199,SUP-129,ITEM-252,2024-02-03,2024-01-24,231,162000,37422000,VND,pending,Giao hàng khẩn
PO-3200,SUP-144,ITEM-239,2024-03-24,2024-04-08,320,48000,15360000,VND,approved,Hàng dễ vỡ
PO-3201,SUP-110,ITEM-239,2024-01-18,2024-01-21,356,444000,158064000,VND,pending,Giao hàng khẩn
PO-3202,SUP-114,ITEM-245,2024-06-08,2024-06-15,118,209000,24662000,VND,cancelled,Hàng dễ vỡ
PO-3203,SUP-136,ITEM-210,2023-09-14,2023-09-20,158,337000,53246000,VND,approved,
PO-3204,SUP-105,ITEM-225,2023-12-03,2023-12-25,172,246000,42312000,VND,pending,Giao hàng khẩn
PO-3205,SUP-116,ITEM-229,2024-03-22,2024-04-02,374,371000,138754000,VND,cancelled,
PO-3206,SUP-107,ITEM-223,2023-10-15,2023-11-14,340,305000,103700000,VND,pending,
PO-3207,SUP-133,ITEM-204,2024-02-19,2024-03-17,426,293000,124818000,VND,pending,Giao hàng khẩn
PO-3208,SUP-126,ITEM-229,2023-10-25,2023-11-01,466,387000,180342000,VND,pending,
PO-3209,SUP-997,ITEM-218,2023-05-30,2023-06-25,238,84000,19992000,VND,pending,Hàng dễ vỡ
PO-3210,SUP-983,ITEM-267,2024-02-02,2024-02-20,474,397000,188178000,VND,approved,
PO-3211,SUP-148,ITEM-234,2023-06-28,2023-07-13,306,274000,83844000,VND,cancelled,Giao hàng khẩn
PO-3212,SUP-123,ITEM-263,2023-01-07,2023-01-26,415,244000,101260000,VND,pending,Giao hàng khẩn
PO-3213,SUP-139,ITEM-216,2023-12-05,2023-12-31,348,119000,41412000,VND,approved,
PO-3214,SUP-109,ITEM-274,2024-06-08,2024-06-12,313,85000,26605000,VND,pending,Hàng dễ vỡ
PO-3215,SUP-147,ITEM-237,2024-04-04,2024-04-26,494,47000,23218000,VND,approved,
PO-3216,SUP-966,ITEM-244,2023-03-12,2023-03-22,482,229000,110378000,VND,pending,
PO-3217,SUP-131,ITEM-279,2024-06-28,2024-07-17,317,24000,7608000,VND,cancelled,
PO-3218,SUP-127,ITEM-248,2024-06-26,2024-07-12,457,27000,12339000,VND,pending,Cần hóa đơn VAT
PO-3219,SUP-109,ITEM-233,2023-03-27,2023-04-08,254,384000,97536000,VND,pending,
PO-3220,SUP-101,ITEM-249,2023-11-20,2023-12-06,345,107000,36915000,VND,received,
PO-3221,SUP-118,ITEM-251,2024-05-09,2024-05-17,396,106000,41976000,VND,pending,
PO-3222,SUP-143,ITEM-216,2023-06-15,2023-06-21,392,119000,46648000,VND,pending,Cần hóa đơn VAT
PO-3223,SUP-141,ITEM-201,2023-05-29,2023-06-16,421,50000,21050000,VND,cancelled,Cần hóa đơn VAT
PO-3224,SUP-140,ITEM-267,2023-02-28,2023-03-27,156,357000,55692000,VND,approved,
PO-3225,SUP-139,ITEM-266,2023-06-23,2023-07-17,274,351000,96174000,VND,cancelled,Cần hóa đơn VAT
PO-3226,SUP-138,ITEM-226,2023-03-12,2023-03-17,275,13000,3575000,VND,approved,Cần hóa đơn VAT
PO-3227,SUP-126,ITEM-274,2024-02-21,2024-03-11,12,134000,1608000,VND,approved,Hàng dễ vỡ
PO-3228,SUP-129,ITEM-249,2023-09-07,2023-10-04,298,244000,72712000,VND,approved,
PO-3229,SUP-933,ITEM-229,2023-11-20,2023-12-06,356,352000,125312000,VND,received,
PO-3230,SUP-136,ITEM-223,2023-08-12,2023-09-02,253,160000,40480000,VND,approved,
PO-3231,SUP-117,ITEM-227,2023-09-13,2023-10-12,127,105000,13335000,VND,pending,
PO-3232,SUP-135,ITEM-206,2023-11-19,2023-12-07,444,244000,108336000,VND,cancelled,
PO-3233,SUP-149,ITEM-274,2024-03-09,2024-03-03,75,32000,2400000,VND,cancelled,Giao hàng khẩn
PO-3234,SUP-145,ITEM-202,2024-01-24,2024-02-14,16,339000,5424000,VND,received,Giao hàng khẩn
PO-3235,SUP-112,ITEM-264,2024-01-17,2024-01-31,227,109000,24743000,VND,approved,
PO-3236,SUP-116,ITEM-272,2023-07-20,2023-07-27,231,429000,99099000,VND,received,
PO-3237,SUP-132,ITEM-239,2023-02-18,2023-03-05,138,283000,39054000,VND,received,Giao hàng khẩn
PO-3238,SUP-124,ITEM-247,2023-09-21,2023-10-05,296,281000,83176000,VND,pending,
PO-3239,SUP-119,ITEM-246,2024-05-14,2024-06-10,176,338000,59488000,VND,received,Cần hóa đơn VAT
PO-3240,SUP-141,ITEM-279,2023-03-15,2023-03-20,302,205000,61910000,VND,approved,Cần hóa đơn VAT
PO-3241,SUP-150,ITEM-247,2024-04-06,2024-04-22,392,296000,116032000,VND,pending,
PO-3242,SUP-111,ITEM-251,2024-04-29,2024-05-19,62,52000,3224000,VND,cancelled,Giao hàng khẩn
PO-3243,SUP-945,ITEM-232,2023-05-10,2023-05-17,387,146000,56502000,VND,approved,
PO-3244,SUP-129,ITEM-218,2023-07-01,2023-07-22,495,350000,173250000,VND,approved,Giao hàng khẩn
PO-3245,SUP-131,ITEM-270,2024-03-28,2024-04-09,126,403000,50778000,VND,approved,Cần hóa đơn VAT
PO-3246,SUP-135,ITEM-202,2024-05-03,2024-05-15,362,461000,166882000,VND,cancelled,Cần hóa đơn VAT
PO-3247,SUP-116,ITEM-221,2024-02-04,2024-03-04,376,370000,139120000,VND,approved,Giao hàng khẩn
PO-3248,SUP-142,ITEM-269,2023-07-12,2023-08-11,424,138000,58512000,VND,approved,Giao hàng khẩn
PO-3250,SUP-106,ITEM-220,2023-12-17,2024-01-02,17,249000,4233000,VND,pending,
PO-3251,SUP-118,ITEM-251,2023-07-05,2023-07-14,46,274000,12604000,VND,cancelled,
PO-3252,SUP-129,ITEM-232,2023-07-23,2023-08-09,387,497000,192339000,VND,pending,Hàng dễ vỡ
PO-3253,SUP-147,ITEM-206,2024-06-17,2024-06-23,391,469000,183379000,VND,approved,Hàng dễ vỡ
PO-3254,SUP-905,ITEM-242,2023-10-10,2023-10-31,17,88000,1496000,VND,pending,Giao hàng khẩn
PO-3255,SUP-150,ITEM-212,2023-04-04,2023-04-28,137,83000,11371000,VND,pending,
PO-3256,SUP-948,ITEM-230,2023-12-22,2024-01-19,172,491000,84452000,VND,cancelled,
PO-3257,SUP-119,ITEM-270,2023-07-11,2023-07-31,366,248000,90768000,VND,pending,
PO-3258,SUP-110,ITEM-258,2024-01-11,2024-01-28,161,411000,66171000,VND,approved,Giao hàng khẩn
PO-3259,SUP-147,ITEM-209,2024-02-01,2024-02-10,347,484000,167948000,VND,pending,
PO-3260,SUP-134,ITEM-209,2023-05-13,2023-05-21,32,418000,13376000,VND,cancelled,
PO-3261,SUP-140,ITEM-276,2023-08-15,2023-08-11,141,29000,4089000,VND,pending,Giao hàng khẩn
PO-3262,SUP-136,ITEM-254,2023-03-01,2023-03-30,430,188000,80840000,VND,pending,
